"","Rk","Name","Born","Yrs","From","To","ASG","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G.1","GS","SV","IP","H.1","HR.1","BB.1","SO","Franchises","month","day"
"1069",1,"Antonio Senzatela",1995,1,2017,2017,0,12,23,1,4,0,5,0,0,0.174,0.174,0.217,0.391,8,2,3.56,1.159,12,12,0,73.1,64,9,21,48,"COL",1,21
"1070",2,"Joe Wieland",1990,4,2012,2016,0,12,12,0,2,0,2,0,0,0.167,0.167,0.25,0.417,1,6,6.32,1.519,12,10,0,52.2,61,11,19,39,"SDP,LAD,SEA",1,21
"1071",3,"Jose Ramirez",1990,4,2014,2017,0,74,0,0,0,0,0,0,0,NA,NA,NA,NA,5,6,4.38,1.459,74,0,0,74,66,6,42,68,"NYY,SEA,ATL",1,21
"1072",4,"Preston Claiborne",1988,2,2013,2014,0,62,0,0,0,0,0,0,0,NA,NA,NA,NA,3,2,3.79,1.388,62,0,0,71.1,75,8,24,58,"NYY",1,21
"1073",5,"Josh Ravin",1988,2,2015,2016,0,19,0,0,0,0,0,0,0,NA,NA,NA,NA,2,1,3.79,1.211,19,0,0,19,15,4,8,25,"LAD",1,21
"1074",6,"Jake Diekman",1987,5,2012,2016,0,283,0,0,0,0,0,0,0,NA,NA,NA,NA,13,13,3.59,1.379,283,0,4,248,214,15,128,304,"PHI,TEX",1,21
"1075",7,"Chase d'Arnaud",1987,6,2011,2017,0,183,436,57,101,1,30,25,31,0.232,0.286,0.312,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT,PHI,ATL,BOS,SDP",1,21
"1076",8,"Brandon Crawford",1987,7,2011,2017,1,854,2844,325,717,63,370,22,264,0.252,0.318,0.394,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",1,21
"1077",9,"Roger Kieschnick",1987,2,2013,2014,0,63,125,8,25,1,7,0,11,0.2,0.265,0.248,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG,ARI",1,21
"1078",10,"Josh Wall",1987,3,2012,2014,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,15.15,2.561,15,0,0,13.2,25,3,10,11,"LAD,ANA",1,21
"1079",11,"Robert Ray",1984,2,2009,2010,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,1,2,4.18,1.286,7,4,0,28,25,4,11,16,"TOR",1,21
"1080",12,"Wil Ledezma",1981,9,2003,2011,0,192,12,2,0,0,0,0,1,0,0.077,0,0.077,15,25,5.4,1.605,192,40,0,396.1,440,45,196,283,"DET,ATL,SDP,ARI,WSN,PIT,TOR",1,21
"1081",13,"Ron Wright",1976,1,2002,2002,0,1,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",1,21
"1082",14,"Jason Ryan",1976,2,1999,2000,0,24,0,0,0,0,0,0,0,NA,NA,NA,NA,1,5,5.94,1.65,24,9,0,66.2,83,17,27,34,"MIN",1,21
"1083",15,"Alan Benes",1972,8,1995,2003,0,115,139,6,22,0,8,0,3,0.158,0.176,0.201,0.377,29,28,4.59,1.443,115,70,1,494,493,59,220,401,"STL,CHC,TEX",1,21
"1084",16,"Johnny Guzman",1971,2,1991,1992,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,10.13,2.625,7,0,0,8,19,0,2,3,"OAK",1,21
"1085",17,"Jeff McCurry",1970,5,1995,1999,0,111,4,0,0,0,0,0,0,0,0,0,0,3,12,5.89,1.808,111,0,1,128.1,169,24,63,60,"PIT,DET,COL,HOU",1,21
"1086",18,"Rusty Greer",1969,9,1994,2002,0,1027,3829,643,1166,119,614,31,519,0.305,0.387,0.478,0.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEX",1,21
"1087",19,"Tom Urbani",1968,4,1993,1996,0,83,65,6,16,1,4,0,7,0.246,0.319,0.308,0.627,10,17,4.98,1.544,81,36,0,260.1,316,38,86,149,"STL,DET",1,21
"1088",20,"Keith Shepherd",1968,4,1992,1996,0,41,2,0,0,0,0,0,0,0,0,0,0,2,5,6.71,1.746,41,1,3,63,80,10,30,34,"PHI,COL,BOS,BAL",1,21
"1089",21,"Chris Hammond",1966,14,1990,2006,0,444,238,30,48,4,14,0,28,0.202,0.285,0.29,0.575,66,62,4.14,1.379,441,136,3,1123.2,1163,105,387,712,"CIN,FLA,BOS,ATL,NYY,OAK,SDP",1,21
"1090",22,"Matt Stark",1965,2,1987,1990,0,13,28,0,5,0,3,0,1,0.179,0.207,0.214,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR,CHW",1,21
"1091",23,"Darryl Motley",1960,6,1981,1987,0,413,1333,156,324,44,159,19,67,0.243,0.28,0.402,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCR,ATL",1,21
"1092",24,"Andy Hawkins",1960,10,1982,1991,0,280,325,12,38,0,10,0,10,0.117,0.143,0.12,0.263,84,91,4.22,1.403,280,249,0,1558.1,1574,152,612,706,"SDP,NYY,OAK",1,21
"1093",25,"Ricky Adams",1959,3,1982,1985,0,120,247,35,53,4,16,3,10,0.215,0.26,0.291,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANA,SFG",1,21
"1094",26,"Jose Uribe",1959,10,1984,1993,0,1038,3064,307,738,19,219,74,256,0.241,0.3,0.314,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL,SFG,HOU",1,21
"1095",27,"Mike Smithson",1955,8,1982,1989,0,240,0,0,0,0,0,0,0,NA,NA,NA,NA,76,86,4.58,1.368,240,204,2,1356.1,1473,168,383,731,"TEX,MIN,BOS",1,21
"1096",28,"Dave Smith",1955,13,1980,1992,2,609,44,2,3,0,1,0,4,0.068,0.146,0.068,0.214,53,53,2.67,1.215,609,1,216,809.1,700,34,283,548,"HOU,CHC",1,21
"1097",29,"Mike Krukow",1952,14,1976,1989,1,371,722,44,139,5,54,3,17,0.193,0.214,0.244,0.457,124,117,3.9,1.349,369,355,1,2190.2,2188,196,767,1478,"CHC,PHI,SFG",1,21
"1098",30,"Bill Stein",1947,14,1972,1985,0,959,2811,268,751,44,311,16,186,0.267,0.313,0.37,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL,CHW,SEA,TEX",1,21
"1099",31,"Bob Reynolds",1947,6,1969,1975,0,140,4,0,0,0,0,0,0,0,0,0,0,14,16,3.15,1.323,140,2,21,254.2,255,18,82,167,"WSN,MIL,STL,BAL,CLE,DET",1,21
"1100",32,"Johnny Oates",1946,11,1970,1981,0,593,1637,146,410,14,126,11,141,0.25,0.309,0.313,0.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL,ATL,PHI,LAD,NYY",1,21
"1101",33,"Rich Beck",1940,1,1965,1965,0,3,7,0,0,0,0,0,1,0,0.125,0,0.125,2,1,2.14,1.381,3,3,0,21,22,1,7,10,"NYY",1,21
"1102",34,"Norm Bass",1939,3,1961,1963,0,66,82,5,8,1,6,0,3,0.098,0.129,0.134,0.264,13,17,5.32,1.608,65,34,0,253.2,271,26,137,111,"OAK",1,21
"1103",35,"Bill Graham",1937,2,1966,1967,0,6,8,0,1,0,1,0,0,0.125,0.125,0.125,0.25,1,2,2.45,1.125,6,3,0,29.1,22,3,11,16,"DET,NYM",1,21
"1104",36,"Danny O'Connell",1929,10,1950,1962,0,1143,4035,527,1049,39,320,48,431,0.26,0.333,0.351,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT,ATL,SFG,TEX",1,21
"1105",37,"Sam Mele",1922,10,1947,1956,0,1046,3437,406,916,80,544,15,311,0.267,0.328,0.408,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS,MIN,CHW,BAL,CIN,CLE",1,21
"1106",38,"Ken Polivka",1921,1,1947,1947,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,3,2,2,0,0,3,3,0,3,1,"CIN",1,21
"1107",39,"Blix Donnelly",1914,8,1944,1951,0,190,201,12,32,0,8,0,14,0.159,0.214,0.184,0.398,27,36,3.49,1.395,190,75,12,691.2,659,53,306,296,"STL,PHI,ATL",1,21
"1108",40,"Fern Bell",1913,2,1939,1940,0,89,265,44,75,2,35,2,43,0.283,0.383,0.385,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",1,21
"1109",41,"Bill Karlon",1909,1,1930,1930,0,2,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",1,21
"1110",42,"Glenn Chapman",1906,1,1934,1934,0,67,93,19,26,1,10,1,7,0.28,0.33,0.387,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD",1,21
"1111",43,"Larry Boerner",1905,1,1932,1932,0,21,17,0,0,0,1,0,0,0,0,0,0,0,4,5.02,1.77,21,5,0,61,71,2,37,19,"BOS",1,21
"1112",44,"Willie Ludolph",1900,1,1924,1924,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4.76,1.235,3,0,0,5.2,5,0,2,1,"DET",1,21
"1113",45,"Lew Fonseca",1899,12,1921,1933,0,937,3404,518,1075,31,485,64,186,0.316,0.355,0.432,0.788,0,0,0,0,1,0,0,1,0,0,0,0,"CIN,PHI,CLE,CHW",1,21
"1114",46,"John Mohardt",1898,1,1922,1922,0,5,1,2,1,0,0,0,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",1,21
"1115",47,"Ed Sperber",1895,2,1924,1925,0,26,61,8,17,1,12,3,10,0.279,0.389,0.361,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL",1,21
"1116",48,"Jimmy Zinn",1895,5,1919,1929,0,76,120,17,34,2,15,2,7,0.283,0.328,0.417,0.745,13,16,4.3,1.572,66,26,6,299,390,15,80,108,"OAK,PIT,CLE",1,21
"1117",49,"Bernie Boland",1892,7,1915,1921,0,216,327,29,45,0,15,0,31,0.138,0.212,0.171,0.384,68,53,3.25,1.278,209,119,13,1062,925,13,432,364,"DET,BAL",1,21
"1118",50,"Joe Benz",1886,9,1911,1919,0,251,441,29,61,0,17,1,5,0.138,0.15,0.166,0.315,77,75,2.43,1.147,251,163,3,1359.2,1225,16,334,539,"CHW",1,21
"1119",51,"Benny Meyer",1885,4,1913,1925,0,310,1041,146,276,7,84,46,158,0.265,0.365,0.346,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD,BLT,BFL,PHI",1,21
"1120",52,"Arch McCarthy",1881,1,1902,1902,0,10,28,2,2,0,1,0,1,0.071,0.133,0.071,0.205,2,7,6.13,1.681,10,8,0,72,90,2,31,10,"DET",1,21
"1121",53,"Emil Batch",1880,4,1904,1907,0,348,1253,134,315,7,98,37,65,0.251,0.29,0.334,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD",1,21
"1122",54,"Snake Deal",1879,1,1906,1906,0,65,231,13,48,0,21,15,6,0.208,0.228,0.251,0.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",1,21
"1123",55,"Frank West",1873,1,1894,1894,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.333,1,0,0,3,5,0,2,1,"ATL",1,21
"1124",56,"Irv Waldron",1872,1,1901,1901,0,141,598,102,186,0,52,20,38,0.311,0.356,0.378,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL,MIN",1,21
"1125",57,"Mike Tiernan",1867,13,1887,1899,0,1478,5915,1316,1838,106,853,428,748,0.311,0.392,0.463,0.855,1,2,8.69,2.034,5,0,1,19.2,33,2,7,3,"SFG",1,21
"1126",58,"Art Sunday",1862,1,1890,1890,0,24,83,26,22,0,13,0,15,0.265,0.419,0.349,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BWW",1,21
"1127",59,"Frank Sellman",1851,5,1871,1875,0,37,167,27,43,1,18,3,4,0.257,0.275,0.347,0.622,0,1,8,2.333,1,1,0,9,21,0,0,0,"KEK,OLY,MAR,BLC,WNT",1,21
"1128",1,"Mike Hauschild",1990,1,2017,2017,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11.25,2,4,0,0,8,14,5,2,7,"TEX",1,22
"1129",2,"Josh Spence",1988,2,2011,2012,0,51,0,0,0,0,0,0,0,NA,NA,NA,NA,0,3,3.15,1.275,51,0,0,40,27,3,24,41,"SDP",1,22
"1130",3,"Scott Cousins",1985,4,2010,2013,0,135,179,15,32,2,9,2,12,0.179,0.23,0.285,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLA,ANA",1,22
"1131",4,"Ubaldo Jimenez",1984,12,2006,2017,1,310,289,12,34,0,11,0,17,0.118,0.167,0.118,0.284,109,108,4.21,1.384,309,298,1,1777,1643,164,816,1620,"COL,CLE,BAL",1,22
"1132",5,"Jose Valdez",1983,2,2011,2012,0,24,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,5.88,1.692,24,0,0,26,29,3,15,25,"HOU",1,22
"1133",6,"Carlos Ruiz",1979,12,2006,2017,1,1107,3467,398,918,68,410,24,395,0.265,0.351,0.391,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI,LAD,SEA",1,22
"1134",7,"Chone Figgins",1978,12,2002,2014,1,1282,4701,708,1298,35,403,341,540,0.276,0.349,0.363,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANA,SEA,LAD",1,22
"1135",8,"Aaron Rakers",1977,3,2004,2007,0,14,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,3.32,1.105,14,0,0,19,17,3,4,14,"BAL,SDP",1,22
"1136",9,"Jimmy Anderson",1976,6,1999,2004,0,122,170,11,23,0,6,0,8,0.135,0.174,0.153,0.327,25,47,5.42,1.587,122,96,1,574.2,672,58,240,241,"PIT,CIN,BOS,CHC",1,22
"1137",10,"Keith Gordon",1969,1,1993,1993,0,3,6,0,1,0,0,0,0,0.167,0.167,0.167,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",1,22
"1138",11,"Kevin Higgins",1967,1,1993,1993,0,71,181,17,40,0,13,0,16,0.221,0.294,0.254,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SDP",1,22
"1139",12,"Wayne Kirby",1964,8,1991,1998,0,516,1198,183,302,14,119,44,98,0.252,0.309,0.345,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE,LAD,NYM",1,22
"1140",13,"Javier Ortiz",1963,2,1990,1991,0,77,160,14,44,2,15,1,26,0.275,0.374,0.394,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",1,22
"1141",14,"Jeff Treadway",1963,9,1987,1995,0,762,2119,244,596,28,208,14,140,0.281,0.326,0.383,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,ATL,CLE,LAD,WSN",1,22
"1142",15,"Brian Dayett",1957,5,1983,1987,0,218,426,45,110,14,68,0,37,0.258,0.316,0.427,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY,CHC",1,22
"1143",16,"Ramon Aviles",1952,4,1977,1981,0,117,190,21,51,2,24,0,21,0.268,0.341,0.347,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS,PHI",1,22
"1144",17,"Leon Roberts",1951,11,1974,1984,0,901,2737,342,731,78,328,26,256,0.267,0.332,0.419,0.751,0,0,27,5,1,0,0,1,4,1,1,1,"DET,HOU,SEA,TEX,TOR,KCR",1,22
"1145",18,"Mike Caldwell",1949,14,1971,1984,0,476,216,11,34,0,8,0,4,0.157,0.172,0.19,0.362,137,130,3.81,1.319,475,307,18,2408.2,2581,218,597,939,"SDP,SFG,CIN,MIL",1,22
"1146",19,"Fred Cambria",1948,1,1970,1970,0,6,10,1,2,0,1,0,2,0.2,0.333,0.2,0.533,1,2,3.51,1.47,6,5,0,33.1,37,2,12,14,"PIT",1,22
"1147",20,"Jophery Brown",1945,1,1968,1968,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,4.5,1.5,1,0,0,2,2,0,1,0,"CHC",1,22
"1148",21,"Dave Leonhard",1941,6,1967,1972,0,125,77,6,12,0,2,0,5,0.156,0.207,0.182,0.389,16,14,3.15,1.297,117,29,5,337,287,32,150,146,"BAL",1,22
"1149",22,"Jack Littrell",1929,4,1952,1957,0,111,255,22,52,2,17,1,20,0.204,0.261,0.275,0.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAK,CHC",1,22
"1150",23,"Bobby Young",1925,8,1948,1958,0,687,2447,244,609,15,137,18,208,0.249,0.308,0.318,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL,BAL,CLE,PHI",1,22
"1151",24,"Johnny Bucha",1925,3,1948,1953,0,84,195,18,40,1,15,1,25,0.205,0.295,0.272,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL,DET",1,22
"1152",25,"Diomedes Olivo",1919,3,1960,1963,0,85,17,0,3,0,1,0,1,0.176,0.222,0.235,0.458,5,6,3.1,1.407,85,1,7,107.1,112,7,39,85,"PIT,STL",1,22
"1153",26,"Huck Geary",1917,2,1942,1943,0,55,188,20,30,1,15,3,20,0.16,0.24,0.197,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",1,22
"1154",27,"Prince Oana",1910,3,1934,1945,0,30,52,8,16,1,10,0,1,0.308,0.321,0.462,0.782,3,2,3.77,1.39,13,1,1,45.1,37,4,26,18,"PHI,DET",1,22
"1155",28,"Ivey Shiver",1907,2,1931,1934,0,21,68,8,13,2,6,1,3,0.191,0.225,0.294,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET,CIN",1,22
"1156",29,"John Milligan",1904,5,1928,1934,0,35,34,2,3,0,2,0,0,0.088,0.088,0.088,0.176,3,8,5.17,1.783,35,12,0,116.2,141,2,67,38,"PHI,MIN",1,22
"1157",30,"Frank Fahey",1896,1,1918,1918,0,10,17,2,3,0,1,0,0,0.176,0.176,0.235,0.412,0,0,6,2.111,3,0,0,9,5,0,14,1,"OAK",1,22
"1158",31,"John Mercer",1892,1,1912,1912,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",1,22
"1159",32,"Amos Strunk",1889,17,1908,1924,0,1512,4999,696,1418,15,529,185,573,0.284,0.359,0.374,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAK,BOS,CHW",1,22
"1160",33,"Ira Thomas",1881,10,1906,1915,0,484,1352,124,327,3,155,20,82,0.242,0.296,0.308,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY,DET,OAK",1,22
"1161",34,"Bill O'Neill",1880,2,1904,1906,0,206,746,77,181,2,42,41,46,0.243,0.293,0.276,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS,MIN,CHW",1,22
"1162",35,"Warren McLaughlin",1876,3,1900,1903,0,7,23,1,7,0,3,1,1,0.304,0.333,0.391,0.725,3,3,4.75,1.727,7,5,0,55,69,0,26,17,"PHI,PIT",1,22
"1163",36,"Jay Hughes",1874,4,1898,1902,0,149,453,68,99,3,55,2,39,0.219,0.283,0.316,0.599,83,40,3,1.267,134,128,0,1088,1006,16,372,368,"BLO,LAD",1,22
"1164",37,"Irv Ray",1864,4,1888,1891,0,226,902,154,263,3,123,59,86,0.292,0.36,0.359,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL,BLO",1,22
"1165",38,"Charlie Hallstrom",1863,1,1885,1885,0,1,4,1,0,0,0,NA,0,0,0,0,0,0,1,11,2.667,1,1,0,9,18,3,6,0,"PRO",1,22
"1166",1,"Addison Russell",1994,3,2015,2017,1,347,1182,154,278,37,168,11,115,0.235,0.311,0.393,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",1,23
"1167",2,"Jacob May",1992,1,2017,2017,0,15,36,2,2,0,3,0,3,0.056,0.15,0.056,0.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHW",1,23
"1168",3,"Daniel Fields",1991,1,2015,2015,0,1,3,1,1,0,0,0,0,0.333,0.333,0.667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",1,23
"1169",4,"Robert Carson",1989,2,2012,2013,0,31,0,1,0,0,0,0,1,NA,1,NA,NA,0,0,6.82,1.364,31,0,0,33,34,11,11,13,"NYM",1,23
"1170",5,"Cord Phelps",1987,4,2011,2014,0,56,116,12,18,2,11,1,9,0.155,0.216,0.241,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE,BAL",1,23
"1171",6,"Jeff Samardzija",1985,10,2008,2017,1,304,251,12,33,2,19,0,7,0.131,0.156,0.199,0.355,61,79,4.06,1.257,298,175,1,1274.2,1211,144,391,1162,"CHC,OAK,CHW,SFG",1,23
"1172",7,"Wily Mo Pena",1982,8,2002,2011,0,599,1703,211,425,84,240,12,111,0.25,0.303,0.445,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,BOS,WSN,ARI,SEA",1,23
"1173",8,"Juan Rincon",1979,10,2001,2010,0,444,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,35,29,4.03,1.379,444,3,3,507,481,41,218,469,"MIN,CLE,COL,DET",1,23
"1174",9,"Jason Stanford",1977,3,2003,2007,0,23,2,0,0,0,0,0,0,0,0,0,0,2,5,3.61,1.374,23,12,0,87.1,92,6,28,51,"CLE",1,23
"1175",10,"Brandon Duckworth",1976,8,2001,2008,0,134,113,8,25,0,8,0,10,0.221,0.285,0.257,0.541,23,34,5.28,1.526,134,84,1,511,552,63,228,376,"PHI,HOU,KCR",1,23
"1176",11,"Mark Watson",1974,3,2000,2003,0,11,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,10.95,2.351,11,0,0,12.1,22,1,7,7,"CLE,SEA,CIN",1,23
"1177",12,"Erubiel Durazo",1974,7,1999,2005,0,624,1948,333,547,94,330,7,307,0.281,0.381,0.487,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARI,OAK",1,23
"1178",13,"Charlie Greene",1971,5,1996,2000,0,55,75,5,13,0,2,0,5,0.173,0.222,0.2,0.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYM,BAL,MIL,TOR",1,23
"1179",14,"Mark Wohlers",1970,12,1991,2002,1,533,12,1,1,0,0,0,0,0.083,0.083,0.083,0.167,39,29,3.97,1.377,533,0,119,553.1,490,37,272,557,"ATL,CIN,NYY,CLE",1,23
"1180",15,"Sherman Obando",1970,4,1993,1997,0,177,355,41,85,13,49,3,34,0.239,0.31,0.386,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL,WSN",1,23
"1181",16,"Alan Embree",1970,16,1992,2009,0,882,3,0,0,0,0,0,1,0,0.25,0,0.25,39,45,4.59,1.34,882,4,25,774,744,95,293,691,"CLE,ATL,ARI,SFG,CHW,BOS,SDP,NYY,OAK,COL",1,23
"1182",17,"Victor Cole",1968,1,1992,1992,0,8,4,0,0,0,0,0,0,0,0,0,0,0,2,5.48,1.609,8,4,0,23,23,1,14,12,"PIT",1,23
"1183",18,"Marty Brown",1963,3,1988,1990,0,35,61,3,11,0,6,0,6,0.18,0.25,0.213,0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,BAL",1,23
"1184",19,"Benny Distefano",1962,5,1984,1992,0,240,360,35,82,7,42,1,31,0.228,0.296,0.35,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT,HOU",1,23
"1185",20,"Reggie Ritter",1960,2,1986,1987,0,19,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,6.14,1.827,19,0,0,36.2,47,6,20,17,"CLE",1,23
"1186",21,"Alfonso Pulido",1957,3,1983,1986,0,12,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,5.19,1.615,12,4,1,34.2,45,10,11,16,"PIT,NYY",1,23
"1187",22,"Garry Hancock",1954,6,1978,1984,0,273,570,57,141,12,64,2,12,0.247,0.262,0.358,0.62,0,0,0,0,1,0,0,1.1,0,0,0,0,"BOS,OAK",1,23
"1188",23,"Charlie Spikes",1951,9,1972,1980,0,670,2039,240,502,65,256,27,154,0.246,0.304,0.389,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY,CLE,DET,ATL",1,23
"1189",24,"Kurt Bevacqua",1947,15,1971,1985,0,970,2117,214,499,27,275,12,221,0.236,0.305,0.327,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE,KCR,PIT,MIL,TEX,SDP",1,23
"1190",25,"Paul Ratliff",1944,4,1963,1972,0,145,297,28,61,12,42,0,28,0.205,0.293,0.374,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN,MIL",1,23
"1191",26,"Dick Burwell",1940,2,1960,1961,0,5,4,1,1,0,0,0,0,0.25,0.25,0.25,0.5,0,0,6.59,2.049,5,1,0,13.2,17,2,11,1,"CHC",1,23
"1192",27,"Bob Moorhead",1938,2,1962,1965,0,47,22,2,1,0,0,0,5,0.045,0.222,0.045,0.268,0,3,4.51,1.513,47,7,0,119.2,134,13,47,68,"NYM",1,23
"1193",28,"Don Nottebart",1936,9,1960,1969,0,296,238,14,32,0,7,0,12,0.134,0.176,0.134,0.31,36,51,3.65,1.276,296,89,21,928.1,902,69,283,525,"ATL,HOU,CIN,CHC,NYY",1,23
"1194",29,"Joey Amalfitano",1934,10,1954,1967,0,643,1715,248,418,9,123,19,185,0.244,0.32,0.321,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG,HOU,CHC",1,23
"1195",30,"Wally Shannon",1933,2,1959,1960,0,65,118,7,31,0,6,0,3,0.263,0.293,0.305,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",1,23
"1196",31,"Frank Sullivan",1930,11,1953,1963,2,351,529,36,76,0,22,0,30,0.144,0.189,0.164,0.353,97,100,3.6,1.305,351,219,18,1732,1702,149,559,959,"BOS,PHI,MIN",1,23
"1197",32,"Chico Carrasquel",1926,10,1950,1959,4,1325,4644,568,1199,55,474,31,491,0.258,0.333,0.342,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHW,CLE,OAK,BAL",1,23
"1198",33,"Cot Deal",1923,4,1947,1954,0,46,24,5,4,1,4,0,1,0.167,0.231,0.333,0.564,3,4,6.55,1.78,45,2,1,89.1,111,14,48,34,"BOS,STL",1,23
"1199",34,"Randy Gumpert",1918,10,1936,1952,1,267,329,23,60,0,23,0,9,0.182,0.206,0.188,0.395,51,59,4.17,1.373,261,113,7,1052.2,1099,92,346,352,"OAK,NYY,CHW,BOS,MIN",1,23
